date,product_id,product_name,category,quantity,unit_price,revenue,customer_id
2024-01-15,P001,Laptop,Electronics,2,899.99,1799.98,C1234
2024-01-15,P002,Wireless Mouse,Electronics,5,29.99,149.95,C1235
2024-01-16,P003,Office Chair,Furniture,1,249.99,249.99,C1236
2024-01-16,P004,Desk Lamp,Furniture,3,39.99,119.97,C1234
2024-01-17,P005,Notebook Set,Stationery,10,12.99,129.90,C1237
2024-01-17,P001,Laptop,Electronics,1,899.99,899.99,C1238
2024-01-18,P006,USB Cable,Electronics,8,9.99,79.92,C1239
2024-01-18,P007,Desk Organizer,Stationery,4,19.99,79.96,C1235
2024-01-19,P003,Office Chair,Furniture,2,249.99,499.98,C1240
2024-01-19,P008,Whiteboard,Office Supplies,1,89.99,89.99,C1241
2024-01-20,P002,Wireless Mouse,Electronics,3,29.99,89.97,C1242
2024-01-20,P009,Keyboard,Electronics,2,59.99,119.98,C1234
2024-01-21,P010,Monitor Stand,Furniture,1,79.99,79.99,C1243
2024-01-21,P005,Notebook Set,Stationery,6,12.99,77.94,C1236
2024-01-22,P001,Laptop,Electronics,3,899.99,2699.97,C1244
2024-01-22,P004,Desk Lamp,Furniture,2,39.99,79.98,C1245
2024-01-23,P011,Printer Paper,Office Supplies,5,24.99,124.95,C1246
2024-01-23,P006,USB Cable,Electronics,12,9.99,119.88,C1237
2024-01-24,P007,Desk Organizer,Stationery,3,19.99,59.97,C1247
2024-01-24,P012,Stapler,Office Supplies,7,8.99,62.93,C1248
2024-01-25,P003,Office Chair,Furniture,4,249.99,999.96,C1249
2024-01-25,P008,Whiteboard,Office Supplies,2,89.99,179.98,C1250
2024-01-26,P009,Keyboard,Electronics,5,59.99,299.95,C1235
2024-01-26,P013,Mouse Pad,Electronics,10,14.99,149.90,C1238
2024-01-27,P002,Wireless Mouse,Electronics,4,29.99,119.96,C1251
2024-01-27,P010,Monitor Stand,Furniture,3,79.99,239.97,C1234
2024-01-28,P014,File Cabinet,Furniture,1,199.99,199.99,C1252
2024-01-28,P011,Printer Paper,Office Supplies,8,24.99,199.92,C1253
2024-01-29,P005,Notebook Set,Stationery,15,12.99,194.85,C1254
2024-01-29,P015,Pen Set,Stationery,20,6.99,139.80,C1255
